date,region,sales,orders,total_sessions,total_carts,total_checkouts,total_pageviews
23/10/2023,Quintana Roo,0.84,1,765,38,16,2752
09/12/2023,Colima,29.92,1,174,4,3,536
29/12/2023,Tamaulipas,29.93,1,692,14,13,1930
24/06/2024,Durango,29.95,1,219,10,6,655
18/09/2024,Nayarit,29.99,1,194,7,2,569
06/03/2024,Morelos,29.99,1,701,20,8,2077
08/11/2023,Tlaxcala,29.99,1,159,6,7,463
09/06/2024,Tabasco,30.9,1,775,36,12,2889
21/04/2024,Colima,39.91,1,230,8,5,685
03/06/2024,Chihuahua,44.83,1,1025,20,7,2764
17/04/2024,Nayarit,49.93,1,218,9,3,600
20/10/2023,Aguascalientes,49.95,1,290,15,10,1062
20/01/2024,Baja California Sur,58.92,1,196,9,3,613
25/01/2024,San Luis Potosí,61.01,1,372,9,4,935
09/05/2024,Morelos,64,1,1222,25,9,2614
01/02/2024,Campeche,69.97,1,316,15,10,1307
01/03/2024,Tlaxcala,74.98,1,158,7,2,409
27/01/2024,Zacatecas,79.98,2,190,10,4,550
11/09/2024,San Luis Potosí,80,1,575,17,7,1633
24/09/2024,Tabasco,84.94,1,968,46,13,3217
14/06/2024,Tlaxcala,89.99,1,190,3,1,466
01/02/2024,Durango,90,1,238,9,5,652
06/03/2024,Oaxaca,90.03,1,252,7,8,693
06/06/2024,Querétaro,94.98,1,952,25,7,2570
25/01/2024,Campeche,99.61,1,248,7,8,738
23/01/2024,Oaxaca,99.99,1,161,4,3,398
03/02/2024,Chihuahua,100.99,1,795,38,27,2577
13/05/2024,Oaxaca,109.91,1,189,8,1,472
26/09/2024,Aguascalientes,109.92,1,545,35,4,1692
07/01/2024,Campeche,114.96,1,308,13,13,959
03/05/2024,San Luis Potosí,119.96,1,693,25,8,1847
24/01/2024,Baja California,119.98,1,915,30,20,2341
20/09/2023,Tamaulipas,119.99,1,719,25,7,2329
18/09/2023,Morelos,119.99,1,311,16,5,1007
10/09/2023,Durango,119.99,1,211,8,3,524
29/01/2024,Baja California,119.99,1,865,26,23,2227
10/11/2023,Tamaulipas,129.99,1,1120,38,35,3632
14/08/2023,Baja California,129.99,1,1229,32,8,2960
08/03/2024,Oaxaca,139,1,286,13,4,712
16/01/2024,Chiapas,139.98,1,365,18,14,1276
06/10/2023,Durango,139.99,1,246,12,5,670
17/01/2024,Aguascalientes,139.99,1,234,12,6,719
03/09/2024,San Luis Potosí,139.99,1,704,22,6,2043
08/01/2024,Chihuahua,139.99,1,827,31,25,2471
30/05/2024,Chiapas,141.79,1,316,10,8,1053
10/08/2024,Colima,144.92,1,247,11,3,762
07/11/2023,Coahuila,145.98,1,1129,47,23,3480
18/01/2024,Colima,149.15,2,159,8,7,524
14/09/2023,Nayarit,149.98,1,99,4,1,252
29/09/2023,Campeche,149.98,1,121,5,2,409
27/09/2023,Tlaxcala,159.6,1,127,5,1,425
25/06/2024,Hidalgo,159.97,1,421,21,15,1417
07/04/2024,Baja California,159.99,1,1456,42,11,3437
13/02/2024,Baja California,159.99,1,1046,29,20,2919
09/09/2023,Colima,159.99,1,91,8,4,337
04/05/2024,Colima,159.99,1,286,11,2,768
15/01/2024,Aguascalientes,164.99,1,282,10,10,826
16/09/2024,Durango,169,1,302,9,3,875
01/09/2023,Tabasco,169.97,1,454,19,8,1392
17/10/2023,Durango,169.98,1,221,7,0,596
09/01/2024,Coahuila,169.98,1,830,23,8,2433
28/08/2023,Chiapas,169.98,1,199,8,2,491
15/01/2024,Durango,169.98,1,180,5,3,489
16/12/2023,Campeche,169.98,1,345,7,7,822
30/09/2023,Baja California,169.99,1,549,9,3,1649
04/08/2023,Hidalgo,169.99,1,399,10,5,1014
21/09/2023,Durango,174,1,145,8,3,548
15/10/2023,Campeche,177.96,1,204,9,3,617
16/01/2024,Chihuahua,179.84,3,757,36,27,2791
19/08/2023,Quintana Roo,179.99,1,774,18,10,1769
19/10/2023,Baja California,189.98,1,1044,34,12,3105
05/11/2023,Baja California Sur,189.98,1,287,11,7,864
16/09/2023,Tlaxcala,189.98,1,89,7,5,314
25/09/2023,Tamaulipas,189.99,1,624,36,20,2160
16/11/2023,Baja California,189.99,1,1320,53,42,3930
25/03/2024,Querétaro,189.99,1,1283,39,15,3499
07/10/2023,Hidalgo,189.99,1,532,18,6,1530
15/10/2023,Tlaxcala,189.99,1,186,12,5,768
19/09/2023,Chiapas,189.99,1,235,10,3,714
22/11/2023,Zacatecas,189.99,1,364,16,11,1206
27/08/2023,Zacatecas,189.99,1,242,8,5,621
31/08/2023,Coahuila,189.99,1,713,22,9,1909
04/02/2024,Coahuila,189.99,1,813,29,23,2670
06/10/2023,Tamaulipas,193.48,1,1010,29,7,2734
27/12/2023,Sonora,193.99,1,583,29,19,1984
29/01/2024,Nayarit,199.94,1,162,6,8,607
11/02/2024,Chiapas,204.87,1,324,15,15,998
14/05/2024,Aguascalientes,204.9,2,311,13,5,877
24/11/2023,Zacatecas,206.98,1,328,17,8,1267
12/01/2024,Aguascalientes,209.94,1,251,16,7,846
12/04/2024,Baja California,209.96,1,1644,41,10,4225
17/08/2023,Durango,209.96,1,295,9,2,709
03/11/2023,Baja California,209.96,1,1248,37,25,3657
05/01/2024,Baja California Sur,209.96,1,206,9,8,571
24/04/2024,Tlaxcala,209.97,1,172,5,3,489
25/10/2023,Yucatán,209.97,1,1148,61,29,3573
16/12/2023,Zacatecas,209.98,1,273,12,12,690
18/01/2024,Morelos,209.99,1,579,22,15,1449
09/11/2023,Campeche,209.99,1,231,11,6,748
17/12/2023,Hidalgo,209.99,1,569,28,17,1599
08/12/2023,Durango,209.99,1,318,15,9,981
24/09/2023,Chiapas,214.42,1,283,20,9,1043
18/10/2023,Morelos,214.96,1,536,23,6,1567
02/09/2023,Durango,219.99,1,145,4,3,318
04/09/2023,Tabasco,219.99,1,456,24,13,1410
11/09/2023,Tamaulipas,219.99,1,731,15,4,1796
21/09/2024,Guerrero,219.99,1,480,19,6,1329
18/10/2023,Colima,219.99,1,144,8,3,548
12/02/2024,Zacatecas,220.04,1,209,5,3,667
21/10/2023,Yucatán,224.98,1,844,39,11,2888
16/06/2024,Zacatecas,224.98,1,246,5,3,616
23/06/2024,Colima,226,1,179,13,6,690
28/10/2023,Morelos,229.96,1,737,25,16,1917
18/02/2024,San Luis Potosí,229.97,1,391,12,14,1250
20/04/2024,Baja California,229.98,1,1168,23,13,2844
26/12/2023,Sonora,229.98,1,549,23,19,1630
03/03/2024,Zacatecas,229.98,1,301,13,7,906
17/02/2024,Michoacán,229.98,1,727,13,15,2213
11/12/2023,Baja California Sur,229.99,1,344,10,6,927
14/08/2023,Zacatecas,236.98,1,277,10,2,611
01/11/2023,Hidalgo,239.95,1,297,9,8,847
01/10/2023,Aguascalientes,239.95,1,393,22,10,1195
22/01/2024,Durango,239.98,1,206,13,5,605
30/06/2024,Baja California Sur,239.98,1,318,7,1,1006
13/06/2024,Colima,239.99,1,217,7,0,602
27/04/2024,Zacatecas,239.99,1,256,10,2,659
27/10/2023,Tamaulipas,239.99,1,1303,39,27,3824
25/06/2024,Nayarit,239.99,1,189,9,4,656
15/02/2024,Durango,239.99,1,209,8,6,526
11/08/2024,Zacatecas,239.99,1,364,16,9,1136
06/01/2024,Zacatecas,239.99,1,219,10,10,801
19/06/2024,Campeche,239.99,1,256,11,2,916
04/05/2024,Aguascalientes,239.99,1,432,16,6,1172
17/09/2024,San Luis Potosí,249.95,1,518,8,3,1451
25/01/2024,Baja California,249.96,1,942,21,26,2325
05/10/2023,Tamaulipas,249.97,1,1096,28,11,2836
12/09/2023,Colima,249.98,1,82,6,0,207
23/10/2023,Baja California Sur,249.99,1,177,10,4,550
02/09/2023,Sonora,252.45,1,731,30,13,2162
29/06/2024,Guerrero,254.92,1,507,22,8,1476
23/09/2023,Sonora,257.94,1,649,19,2,1816
23/01/2024,Baja California,259.92,2,925,28,25,2372
30/09/2023,Tabasco,259.96,1,316,13,6,1073
23/08/2024,Chihuahua,259.97,1,1521,52,20,4119
12/09/2023,Aguascalientes,269.94,1,243,13,4,642
02/08/2024,Baja California Sur,269.98,1,369,22,9,1149
19/03/2024,Campeche,270,1,345,18,10,1194
11/01/2024,San Luis Potosí,270,1,345,12,10,1064
26/08/2023,Tabasco,273.52,1,407,14,5,1244
02/10/2023,Coahuila,274.94,1,1458,37,8,3521
04/08/2024,Colima,274.96,1,331,14,8,1059
21/01/2024,Campeche,274.99,1,289,10,10,881
07/08/2023,Chihuahua,279.96,1,1053,41,13,2823
21/08/2023,Colima,280.72,1,176,6,4,446
21/08/2023,Hidalgo,283.99,1,608,16,7,1666
23/08/2023,Coahuila,284.97,1,688,14,3,1694
11/01/2024,Zacatecas,287.94,1,192,10,7,542
26/01/2024,Baja California Sur,289.9,1,204,9,4,493
19/06/2024,Durango,289.9,1,241,11,3,692
18/10/2023,Tlaxcala,289.95,1,121,3,2,457
22/04/2024,Chiapas,289.95,1,442,15,7,1287
05/10/2023,Coahuila,289.95,1,1179,39,10,2892
05/09/2023,Quintana Roo,289.95,1,619,31,7,1687
03/11/2023,Zacatecas,289.96,1,231,6,6,912
19/03/2024,Aguascalientes,289.96,1,435,22,8,1249
23/01/2024,Colima,289.97,1,117,4,3,390
10/01/2024,Baja California,289.98,1,1032,38,20,2873
28/10/2023,Aguascalientes,289.98,1,389,14,8,1003
01/09/2023,San Luis Potosí,289.98,1,303,21,9,924
22/10/2023,Hidalgo,289.98,1,450,20,9,1309
10/02/2024,Baja California,289.98,1,835,21,15,2248
25/06/2024,Campeche,289.98,1,252,14,9,848
12/07/2024,Sonora,289.99,1,1878,51,19,4890
18/04/2024,Campeche,289.99,1,383,5,3,1020
31/12/2023,Chihuahua,289.99,1,558,29,27,1309
07/12/2023,Oaxaca,289.99,1,254,12,10,865
23/02/2024,Baja California Sur,289.99,1,244,9,6,638
23/08/2023,Zacatecas,289.99,1,156,7,4,453
02/11/2023,Campeche,289.99,1,234,9,3,773
19/03/2024,Hidalgo,289.99,1,503,17,15,1423
04/02/2024,Zacatecas,289.99,2,202,10,9,707
22/10/2023,Durango,289.99,1,256,5,3,733
28/02/2024,Campeche,289.99,1,318,9,7,842
03/11/2023,Coahuila,292.46,1,992,33,8,3093
10/09/2023,Quintana Roo,294.88,1,705,22,12,1851
10/05/2024,Sinaloa,296.81,1,902,28,2,2107
27/12/2023,Morelos,299.91,1,369,14,13,1301
21/10/2023,Quintana Roo,299.93,1,625,23,9,1879
25/05/2024,Tamaulipas,299.95,1,835,23,11,2159
05/03/2024,Nayarit,299.97,1,201,1,3,428
10/09/2024,Durango,299.97,1,291,5,0,701
05/02/2024,Baja California,299.99,1,954,39,24,3090
18/08/2023,Durango,299.99,1,282,7,5,643
22/02/2024,Durango,299.99,1,146,7,10,449
05/11/2023,Tamaulipas,299.99,1,1113,23,14,3467
25/04/2024,Guerrero,299.99,1,462,13,7,1512
17/08/2023,Morelos,299.99,1,666,19,7,1510
18/03/2024,Nayarit,299.99,1,222,6,3,841
29/08/2023,Chihuahua,299.99,1,640,25,13,1909
20/02/2024,Guerrero,299.99,1,351,11,14,977
09/08/2023,Morelos,299.99,1,522,23,5,1562
18/09/2024,Durango,299.99,1,220,7,2,615
18/02/2024,Colima,299.99,1,113,4,1,342
26/11/2023,Baja California Sur,300.94,1,431,11,6,1219
24/04/2024,Baja California,303.93,1,1302,33,17,3185
10/09/2023,Tlaxcala,303.93,1,134,5,1,349
10/05/2024,Tabasco,303.95,1,645,28,10,1809
10/01/2024,Sinaloa,304.8,1,1056,36,25,3153
07/09/2023,Baja California Sur,304.87,1,223,11,5,635
15/08/2023,Oaxaca,304.9,1,233,8,3,734
27/02/2024,Aguascalientes,304.9,1,291,13,9,894
27/02/2024,Tamaulipas,304.9,1,821,20,18,2259
11/04/2024,Yucatán,304.91,1,1199,41,14,3641
17/04/2024,Tabasco,304.92,1,911,36,17,2707
28/02/2024,Morelos,304.93,1,596,13,7,1687
01/08/2023,Chiapas,304.94,1,430,19,9,1225
29/01/2024,San Luis Potosí,304.95,1,380,11,9,928
10/09/2024,Baja California Sur,304.95,1,332,12,4,982
06/03/2024,Campeche,304.95,1,309,8,8,991
20/08/2023,Colima,304.96,1,166,9,2,510
18/01/2024,Querétaro,304.96,1,1046,46,17,2735
25/08/2024,Nayarit,304.97,1,239,9,5,710
26/12/2023,Morelos,309.69,1,349,13,12,1143
22/01/2024,Morelos,309.9,1,511,21,19,1286
29/11/2023,Campeche,309.9,2,302,11,9,949
14/08/2023,Colima,309.91,1,172,7,5,602
02/01/2024,San Luis Potosí,309.91,1,353,10,9,871
14/05/2024,Campeche,309.91,1,253,13,4,795
22/02/2024,Baja California Sur,309.92,1,147,8,5,451
26/03/2024,Nayarit,309.92,1,174,10,4,556
11/03/2024,Colima,309.94,1,360,13,4,899
14/02/2024,Tlaxcala,309.94,1,111,5,3,328
15/12/2023,Baja California,309.95,1,1489,50,34,3513
08/11/2023,Quintana Roo,309.95,1,916,31,14,3109
09/09/2023,Durango,309.95,1,164,3,0,369
14/12/2023,Baja California,309.95,1,1773,52,38,4242
02/11/2023,San Luis Potosí,309.96,1,368,12,10,1110
05/09/2024,Nayarit,309.96,1,368,12,6,1099
24/08/2024,Durango,309.96,1,339,11,3,1001
16/04/2024,Yucatán,309.96,1,1370,41,22,4045
12/02/2024,Chiapas,309.96,2,336,16,19,1140
14/03/2024,Tabasco,309.97,1,704,24,12,2202
09/09/2023,Coahuila,309.97,1,706,20,9,1729
24/08/2023,Chiapas,309.97,1,217,10,2,493
27/02/2024,Colima,309.98,1,175,5,6,616
18/08/2023,Aguascalientes,309.98,1,448,18,20,1200
01/12/2023,Zacatecas,309.98,1,502,16,6,1384
07/09/2023,Aguascalientes,311.86,1,267,8,4,696
20/08/2023,San Luis Potosí,311.91,1,494,11,6,1265
05/05/2024,Coahuila,312.44,1,1637,46,19,4211
04/09/2024,Baja California,314.88,1,1530,37,15,4031
25/08/2023,Baja California,314.91,1,835,24,12,2079
22/08/2024,Baja California Sur,314.94,1,302,15,4,942
29/09/2024,Nayarit,314.95,1,263,6,2,742
11/03/2024,Quintana Roo,314.96,1,1397,44,17,3585
07/09/2024,Michoacán,314.96,1,2389,62,14,6429
08/02/2024,Colima,314.97,1,129,8,9,405
15/09/2024,Oaxaca,318.92,1,237,5,1,601
06/09/2023,Campeche,319.45,1,215,6,1,514
09/11/2023,Baja California Sur,319.84,1,334,14,8,987
31/12/2023,Coahuila,319.84,1,562,15,15,1210
02/09/2024,Chihuahua,319.89,1,1437,54,22,4155
02/01/2024,Sonora,319.9,1,637,24,17,1965
12/09/2023,Hidalgo,319.91,1,325,13,5,1157
06/11/2023,Colima,319.91,1,144,12,6,599
04/11/2023,San Luis Potosí,319.92,1,393,12,8,1113
24/08/2023,Baja California,319.92,1,933,14,8,1961
19/04/2024,Campeche,319.92,1,346,5,3,1026
06/03/2024,Colima,319.93,1,220,8,6,608
18/09/2023,Baja California Sur,319.93,1,175,6,3,544
16/02/2024,Baja California Sur,319.94,1,256,9,6,655
23/12/2023,Sinaloa,319.95,1,1462,65,42,3592
20/08/2023,Morelos,319.95,1,684,18,9,1644
07/08/2023,Tamaulipas,319.96,1,829,22,7,2179
22/08/2023,Tamaulipas,319.96,1,625,15,6,1745
19/02/2024,Colima,319.96,1,134,6,6,513
29/04/2024,Sonora,319.97,1,1278,39,12,3416
01/02/2024,Coahuila,319.97,1,923,41,26,3048
31/10/2023,Baja California Sur,319.97,1,555,12,8,1363
20/08/2023,Sonora,319.98,1,1248,41,5,3239
02/04/2024,Baja California,319.98,1,1946,54,12,4743
09/09/2023,Campeche,319.98,1,168,7,4,595
15/09/2023,Aguascalientes,321.9,1,125,4,2,346
06/12/2023,Campeche,324.87,1,431,21,17,1308
06/01/2024,Baja California,324.87,1,805,22,16,1826
14/09/2024,Baja California Sur,324.88,1,306,9,3,822
06/09/2024,Hidalgo,324.89,1,1066,31,11,2669
20/09/2024,San Luis Potosí,324.94,1,542,24,7,1426
31/10/2023,Tamaulipas,324.97,1,2066,48,16,5697
22/05/2024,Tlaxcala,326.98,1,347,11,3,832
04/09/2023,Sonora,329.87,1,749,33,12,2040
05/08/2023,Colima,329.89,1,117,5,2,330
29/09/2024,Baja California,329.89,1,1633,78,12,4600
28/09/2024,Colima,329.89,1,398,16,5,1365
29/04/2024,Chihuahua,329.89,1,1235,36,16,3393
28/02/2024,Michoacán,329.9,1,951,26,13,2772
17/08/2023,Colima,329.9,1,170,7,0,400
21/01/2024,Nayarit,329.91,2,131,1,3,290
23/01/2024,Morelos,329.92,1,425,15,8,1343
24/12/2023,Baja California Sur,329.92,1,161,2,2,494
13/09/2023,Baja California,329.93,1,783,26,7,1858
23/09/2023,Oaxaca,329.93,1,168,9,6,586
29/11/2023,Tlaxcala,329.94,1,226,15,12,808
20/04/2024,Coahuila,329.94,1,1037,32,12,2599
19/03/2024,Tabasco,329.94,1,871,45,19,2939
10/10/2023,Zacatecas,329.94,1,291,10,2,850
29/09/2024,Baja California Sur,329.94,1,356,20,2,1071
04/09/2023,Baja California Sur,329.95,1,184,6,1,465
29/09/2024,Guerrero,329.97,1,498,18,6,1335
01/11/2023,Sonora,329.97,1,876,28,13,2778
13/09/2023,Guanajuato,329.98,1,700,35,12,2118
12/12/2023,Tlaxcala,329.98,1,271,15,16,855
28/04/2024,Chiapas,329.98,1,439,19,6,1179
07/03/2024,Morelos,329.98,1,763,19,4,1953
05/12/2023,Colima,329.99,1,266,15,11,764
28/11/2023,Tabasco,329.99,1,1061,29,32,3459
19/04/2024,Durango,329.99,1,287,7,5,737
08/04/2024,Campeche,329.99,1,424,17,9,1161
07/06/2024,Michoacán,330,1,745,38,14,2314
14/01/2024,Colima,331.95,1,117,3,5,404
20/10/2023,Michoacán,333,1,670,27,7,2040
02/10/2023,Zacatecas,333,1,352,19,4,876
20/01/2024,San Luis Potosí,334.86,1,321,14,8,1025
07/04/2024,Aguascalientes,334.95,1,483,12,4,1263
05/05/2024,Morelos,334.97,1,1368,33,15,3509
15/12/2023,Tlaxcala,336.84,1,212,7,9,479
22/02/2024,Hidalgo,337.5,1,263,3,5,748
16/01/2024,Durango,339.81,1,219,7,6,629
09/12/2023,Zacatecas,339.85,1,299,11,10,880
15/12/2023,Zacatecas,339.89,1,316,12,10,911
18/04/2024,Zacatecas,339.9,1,368,12,7,968
08/11/2023,Puebla,339.92,1,1385,53,31,3988
05/08/2023,Aguascalientes,339.92,1,314,10,1,842
13/08/2023,Baja California Sur,339.93,1,217,5,11,607
02/09/2024,San Luis Potosí,339.93,1,665,17,2,1741
05/09/2023,Campeche,339.93,1,186,9,2,508
30/04/2024,Baja California Sur,339.94,1,321,13,3,1020
12/01/2024,Nayarit,339.94,1,150,7,2,726
08/05/2024,Yucatán,339.95,1,1401,42,17,3546
19/02/2024,Hidalgo,339.96,1,465,21,22,1562
06/03/2024,Baja California Sur,339.97,1,275,11,3,726
23/01/2024,Campeche,339.97,1,229,11,4,788
17/02/2024,Aguascalientes,339.98,1,296,14,9,873
29/09/2024,Durango,339.98,1,348,14,5,1050
13/02/2024,Aguascalientes,339.98,1,300,11,7,723
10/02/2024,Oaxaca,339.99,1,180,5,4,521
03/04/2024,Nayarit,339.99,1,242,4,2,744
23/10/2023,Campeche,339.99,1,236,10,9,656
22/12/2023,Colima,341.92,1,239,3,3,567
18/09/2023,Sinaloa,341.97,1,732,37,9,2378
06/09/2024,Zacatecas,344.92,1,600,18,3,1488
29/10/2023,Colima,345.82,1,189,6,3,568
25/01/2024,Chiapas,347.39,1,348,13,9,1038
02/08/2023,San Luis Potosí,347.97,1,501,26,8,1442
08/08/2023,Oaxaca,347.97,1,177,10,1,564
31/08/2024,Campeche,347.97,1,603,19,5,1987
08/09/2023,Campeche,347.97,1,187,9,5,538
31/12/2023,Sinaloa,348.87,1,682,22,15,1440
27/12/2023,Baja California,348.99,1,715,21,19,1920
19/02/2024,Morelos,349.84,1,512,14,10,1598
30/09/2024,Colima,349.87,1,299,15,2,979
03/05/2024,Zacatecas,349.89,1,429,14,4,1029
08/09/2024,Baja California Sur,349.9,1,487,19,4,1215
07/08/2023,Tlaxcala,349.9,1,155,6,6,528
23/08/2023,Oaxaca,349.92,1,122,4,2,408
30/09/2023,Puebla,349.92,1,626,30,6,1884
15/09/2023,Colima,349.93,1,44,2,0,139
20/09/2024,Baja California Sur,349.93,1,301,13,3,945
11/09/2024,Colima,349.93,1,266,10,4,768
05/03/2024,Colima,349.93,1,228,7,4,695
28/09/2024,Baja California,349.93,1,1620,80,19,4437
27/03/2024,Hidalgo,349.94,1,544,19,11,1796
06/07/2024,Morelos,349.94,1,868,31,10,2548
30/06/2024,Aguascalientes,349.94,1,453,16,5,1529
10/08/2023,Oaxaca,349.95,1,185,6,1,608
04/09/2024,Durango,349.95,1,308,9,3,744
23/12/2023,Tabasco,349.95,1,711,26,21,1601
14/03/2024,Durango,349.95,1,239,7,2,729
09/05/2024,Sinaloa,349.96,1,1201,35,18,3100
04/04/2024,Colima,349.97,1,336,6,4,857
01/09/2024,Colima,349.97,1,357,12,3,902
07/05/2024,Hidalgo,349.97,1,696,24,14,1913
13/05/2024,Baja California Sur,349.98,1,269,8,3,695
01/11/2023,Morelos,349.98,1,351,5,7,1079
19/04/2024,Tabasco,349.98,1,855,19,7,2169
26/02/2024,Durango,349.98,1,173,2,6,515
02/11/2023,Chiapas,349.99,1,333,9,7,996
28/04/2024,Zacatecas,349.99,1,340,13,0,930
24/05/2024,San Luis Potosí,349.99,1,287,11,8,777
04/11/2023,Querétaro,349.99,1,1060,38,11,3589
31/08/2023,Sonora,349.99,1,763,43,16,2100
24/05/2024,Durango,349.99,1,237,8,3,573
26/12/2023,Oaxaca,350.96,1,135,10,8,507
20/09/2023,Guerrero,350.98,1,317,15,9,1134
25/02/2024,Baja California,354.9,2,785,29,25,2233
15/01/2024,Baja California Sur,354.91,1,251,7,6,701
25/08/2024,Chiapas,357,1,538,18,6,1523
09/02/2024,Baja California,359.84,1,945,28,17,2821
08/09/2023,Querétaro,359.88,1,936,40,13,2597
21/02/2024,Aguascalientes,359.88,1,230,17,9,868
27/08/2023,Tlaxcala,359.88,1,137,6,1,455
17/02/2024,Baja California Sur,359.88,1,255,12,6,661
01/11/2023,Aguascalientes,359.89,1,202,7,7,577
30/12/2023,Baja California Sur,359.9,1,194,6,5,509
18/09/2023,Guerrero,359.91,1,200,8,2,656
27/05/2024,Morelos,359.91,1,639,23,17,1914
02/09/2023,Coahuila,359.93,1,647,25,7,1734
02/03/2024,Baja California Sur,359.93,1,244,9,1,870
27/08/2023,Hidalgo,359.94,1,358,13,3,869
12/08/2023,Campeche,359.94,1,204,10,7,653
06/06/2024,Aguascalientes,359.94,1,309,13,5,990
15/01/2024,Coahuila,359.95,2,795,30,21,2265
12/09/2024,Tabasco,359.95,1,1127,39,18,3153
19/01/2024,Tamaulipas,359.95,2,764,23,11,2219
28/08/2023,Zacatecas,359.96,1,153,5,4,430
13/06/2024,Nayarit,359.96,1,133,6,4,495
26/12/2023,Sinaloa,359.97,1,634,32,23,1768
10/02/2024,Hidalgo,359.97,1,350,10,13,1060
22/03/2024,Querétaro,359.97,1,1256,35,10,3436
29/03/2024,Durango,359.98,1,280,16,7,712
30/10/2023,Campeche,359.98,1,380,18,8,1206
13/09/2023,Nayarit,359.99,1,104,6,1,353
30/10/2023,Tabasco,359.99,1,1001,38,28,3095
13/04/2024,Hidalgo,359.99,1,558,15,4,1728
08/08/2023,San Luis Potosí,359.99,1,366,11,4,870
10/02/2024,Sinaloa,359.99,1,925,38,33,2817
13/07/2024,Durango,360,1,545,25,3,1347
17/12/2023,Oaxaca,360,1,244,12,12,826
09/10/2023,Chiapas,362.62,1,366,9,2,1094
22/12/2023,Tamaulipas,362.96,1,1178,31,25,3074
26/12/2023,Chihuahua,364.88,1,499,16,6,1389
12/02/2024,Nayarit,364.89,1,160,6,7,674
25/08/2023,Coahuila,367.51,1,640,25,12,1713
01/01/2024,Baja California,369.8,1,912,33,24,2118
13/12/2023,Tabasco,369.88,1,1021,26,31,2761
25/01/2024,Nayarit,369.89,1,146,5,4,530
09/10/2023,Zacatecas,369.9,1,281,13,2,765
17/05/2024,Tlaxcala,369.92,1,384,12,6,1105
02/11/2023,Guanajuato,369.93,1,1093,40,21,3335
02/09/2024,Colima,369.93,1,319,13,4,923
18/09/2024,Colima,369.93,1,283,8,5,654
03/01/2024,Coahuila,369.95,1,713,16,11,2096
21/01/2024,Michoacán,369.96,1,780,34,28,2152
24/09/2023,Morelos,369.97,1,397,11,3,1017
21/10/2023,Sonora,369.98,1,907,32,6,2425
07/08/2024,Colima,373.5,1,335,16,5,1063
16/08/2023,Durango,373.96,1,297,13,5,660
13/02/2024,Durango,374.75,1,205,7,5,744
14/06/2024,Campeche,374.77,1,298,8,4,894
08/02/2024,Chiapas,374.83,2,418,12,17,1215
06/08/2023,Zacatecas,374.85,1,254,13,6,771
25/04/2024,Durango,374.85,1,261,3,1,664
23/01/2024,Zacatecas,374.85,1,168,6,3,464
01/11/2023,Quintana Roo,374.91,1,494,25,13,1836
03/04/2024,Tlaxcala,374.94,1,281,8,6,830
20/02/2024,Baja California Sur,374.96,1,265,7,2,846
18/08/2024,Chihuahua,374.97,1,1424,53,8,4146
11/08/2023,Morelos,375.92,1,465,9,3,1049
03/06/2024,Aguascalientes,377.97,1,286,5,4,750
01/11/2023,Durango,379.86,1,159,2,3,486
24/12/2023,Chiapas,379.89,1,192,8,4,381
31/10/2023,Puebla,379.97,1,2712,72,39,6959
18/08/2023,Zacatecas,383.88,1,319,10,0,768
07/06/2024,Quintana Roo,384,1,1011,28,9,2494
29/02/2024,Chiapas,384.9,1,443,17,8,1250
13/08/2024,Colima,384.94,2,318,12,4,876
24/11/2023,Baja California,384.96,1,1757,67,58,5017
26/11/2023,Durango,384.97,1,547,23,15,1749
31/07/2024,Baja California Sur,385.95,1,368,18,7,1198
06/08/2023,Colima,386.04,1,166,6,1,394
19/09/2023,Tlaxcala,386.89,1,153,10,2,636
30/09/2023,Chiapas,386.99,1,177,8,7,633
26/10/2023,Guerrero,387.87,2,190,11,10,571
18/01/2024,Yucatán,389.85,1,1147,43,35,3297
07/11/2023,Aguascalientes,389.87,1,373,14,6,1193
16/04/2024,Tabasco,389.87,1,914,29,20,2659
11/01/2024,Morelos,389.88,1,506,20,14,1337
31/01/2024,Colima,389.9,1,122,7,7,370
20/09/2023,Zacatecas,389.9,1,227,9,7,699
24/02/2024,Baja California Sur,389.9,1,212,8,6,613
10/02/2024,Baja California Sur,389.92,2,188,8,7,541
15/04/2024,Chihuahua,389.94,1,1285,31,16,3554
12/08/2023,Nayarit,389.94,1,173,3,0,333
27/04/2024,Chihuahua,389.96,1,912,32,5,2543
09/12/2023,Chihuahua,389.96,1,1317,43,29,3840
03/08/2023,Tabasco,389.96,1,631,17,6,1623
27/02/2024,Baja California,389.97,1,955,31,26,2839
16/09/2023,Sonora,389.97,1,453,14,8,1364
14/09/2023,Sonora,389.97,1,713,22,20,2232
25/01/2024,Coahuila,389.97,1,778,16,11,2011
04/09/2023,Tlaxcala,389.98,1,131,8,3,449
06/04/2024,Baja California Sur,389.98,1,305,11,4,1096
21/09/2023,Michoacán,389.98,1,528,22,6,1727
22/10/2023,Chihuahua,389.99,1,1344,57,19,4251
27/12/2023,Quintana Roo,391.41,1,567,29,27,1619
02/09/2023,Colima,391.89,1,95,5,2,333
22/04/2024,Baja California Sur,392.71,1,341,8,5,1020
21/01/2024,Tamaulipas,394.86,1,840,26,15,2329
14/04/2024,Zacatecas,399.78,2,296,17,9,956
27/01/2024,Coahuila,399.8,1,680,25,19,1961
04/04/2024,Baja California Sur,399.8,1,418,12,3,1248
