date,region,sales,orders,total_sessions,total_carts,total_checkouts,total_pageviews
02/02/2024,Nuevo León,12084.17,8,3264,135,105,10333
28/09/2023,Nuevo León,12088.3,12,2243,112,17,6986
22/09/2024,Michoacán,12094.09,8,1561,73,21,4243
16/02/2024,Veracruz,12097.05,9,1681,64,60,5200
19/06/2024,San Luis Potosí,12099.67,6,470,18,11,1522
28/09/2023,Jalisco,12101.36,8,2509,129,23,7848
14/08/2024,Puebla,12105.72,7,1774,62,39,5258
19/09/2024,Michoacán,12108.33,12,1613,80,37,5422
18/11/2023,Coahuila,12111.62,5,1616,68,48,5112
17/08/2024,Michoacán,12114.59,5,1326,46,15,4029
03/12/2023,Tamaulipas,12114.78,5,1822,56,51,5431
07/04/2024,Guanajuato,12117.62,9,1991,54,25,5885
17/05/2024,Chihuahua,12118.74,10,2317,88,41,6247
28/10/2023,Sinaloa,12120.47,5,1731,67,36,4746
05/09/2023,Veracruz,12124.39,7,1434,64,30,4341
11/02/2024,Quintana Roo,12124.84,4,743,31,42,2453
08/01/2024,Durango,12127.45,7,226,10,11,764
29/02/2024,Guanajuato,12129.66,7,1404,46,15,3692
28/07/2024,Querétaro,12129.74,12,1605,83,35,5681
03/05/2024,Yucatán,12129.93,4,1579,45,23,4453
06/12/2023,Puebla,12130.44,8,2165,89,73,6407
19/09/2024,Chihuahua,12134.62,11,1849,85,35,5748
03/02/2024,Nuevo León,12154.5,8,3000,151,106,10302
18/11/2023,Tabasco,12159.68,8,1536,64,69,5061
15/06/2024,Querétaro,12169.65,5,1085,41,32,4469
21/12/2023,Guerrero,12173.48,3,446,18,17,1102
18/02/2024,Nuevo León,12174.36,6,3677,127,90,11021
23/07/2024,Coahuila,12178.7,16,2441,346,267,8064
30/04/2024,Puebla,12181.74,10,1799,71,40,4998
12/08/2023,Querétaro,12186.84,6,937,30,10,2657
12/11/2023,Veracruz,12199.44,12,2131,122,77,7990
16/05/2024,Tlaxcala,12199.57,3,467,20,10,1220
24/02/2024,Yucatán,12200.05,5,795,32,34,2537
13/12/2023,Veracruz,12213.53,10,2554,93,69,7024
10/10/2023,Nuevo León,12216.65,20,4788,190,89,13959
29/10/2023,Michoacán,12219.7,3,1282,58,41,3641
12/11/2023,Yucatán,12219.75,13,1372,81,71,5210
06/03/2024,Guerrero,12229.27,4,492,15,7,1369
18/06/2024,Jalisco,12230.26,16,4670,219,91,14921
06/01/2024,Aguascalientes,12244.51,4,246,15,10,1052
05/11/2023,Nuevo León,12270.13,12,4493,170,99,15493
28/05/2024,Michoacán,12270.47,5,841,26,14,2627
28/11/2023,Coahuila,12273.44,8,1407,66,36,4913
20/06/2024,Michoacán,12275.04,7,966,51,27,3386
19/10/2023,Michoacán,12281.2,4,743,25,9,2219
10/09/2023,Querétaro,12290.84,8,950,39,14,2779
01/08/2023,Nuevo León,12290.98,15,4728,162,75,12265
29/09/2024,Yucatán,12304.26,11,1619,78,25,4918
01/08/2024,Puebla,12309.28,14,2242,103,50,6861
11/09/2024,Puebla,12309.63,9,1811,64,45,4746
22/03/2024,Chihuahua,12309.76,4,1468,60,25,3985
06/08/2023,Veracruz,12310.54,10,1632,60,34,4808
13/07/2024,Sinaloa,12319.83,9,2394,84,35,6446
14/05/2024,Chihuahua,12319.92,7,1066,44,20,3113
03/10/2023,Nuevo León,12323.91,17,6837,259,89,18975
25/09/2023,Yucatán,12345.43,7,842,49,18,2697
14/11/2023,Campeche,12346.76,6,379,20,16,1839
24/05/2024,Puebla,12353.79,5,1425,52,23,3643
18/07/2024,Querétaro,12366.62,16,2326,136,63,7825
13/03/2024,Chihuahua,12373.33,4,1079,46,21,3539
10/04/2024,Guanajuato,12389.86,7,1799,70,29,5709
11/09/2023,Guanajuato,12397.1,7,990,29,16,2669
28/12/2023,Campeche,12397.97,3,235,11,13,808
05/02/2024,Tlaxcala,12398.9,2,148,9,8,480
10/09/2024,Michoacán,12406.51,8,1727,59,16,4890
28/05/2024,Sonora,12419.72,6,846,35,26,2717
14/06/2024,Michoacán,12434.94,3,881,28,10,2611
25/05/2024,Veracruz,12446.79,9,1449,46,27,4252
28/05/2024,Chihuahua,12449.95,5,1069,42,22,3068
07/04/2024,Sinaloa,12454.75,6,1479,51,24,4249
05/11/2023,México,12455.76,22,5891,220,112,19362
31/05/2024,Sinaloa,12459.9,6,741,34,22,2110
01/10/2023,Jalisco,12467.57,17,4973,227,74,14056
10/02/2024,Yucatán,12474.63,4,853,21,26,2368
11/06/2024,Tamaulipas,12474.79,5,997,33,16,2823
26/03/2024,Tamaulipas,12479.52,7,1066,32,21,3161
21/08/2024,Durango,12479.94,3,319,11,3,939
11/09/2023,Nuevo León,12482.34,19,3782,139,51,10370
21/09/2024,Quintana Roo,12494.85,10,1543,69,22,4338
06/01/2024,Querétaro,12499.89,6,910,37,35,2256
11/06/2024,Veracruz,12499.91,8,1778,53,26,5179
07/09/2024,Puebla,12509.74,5,3252,79,26,8023
31/07/2024,Campeche,12509.81,6,442,24,13,1503
14/04/2024,Yucatán,12519.91,5,1025,35,14,3168
04/08/2024,Sonora,12519.93,7,1576,46,19,4323
07/07/2024,Guanajuato,12524.95,6,1792,72,32,4981
30/08/2024,Querétaro,12525.57,9,1729,62,27,4709
18/09/2024,Querétaro,12530.53,8,1687,70,37,5224
30/08/2024,Quintana Roo,12535,4,1822,63,30,5013
21/04/2024,Michoacán,12535.98,1,986,24,8,2565
30/04/2024,Sinaloa,12539.36,10,1394,44,17,3604
26/09/2024,Veracruz,12541.43,11,1978,76,27,6015
14/10/2023,Jalisco,12542.72,15,4698,200,82,13229
21/08/2023,Jalisco,12545.96,19,5462,186,89,14002
09/09/2024,Michoacán,12548.25,8,1903,49,16,5036
10/07/2024,Chiapas,12549.07,7,652,34,15,2354
30/09/2024,Coahuila,12569.42,8,1728,213,190,5423
05/12/2023,Michoacán,12576.76,7,1248,40,31,3409
03/12/2023,Oaxaca,12584.58,7,367,21,17,998
20/05/2024,Oaxaca,12587.54,6,435,16,11,1314
21/07/2024,Hidalgo,12589.72,6,907,50,25,2921
03/04/2024,Guerrero,12589.96,4,814,24,8,2326
29/03/2024,Nuevo León,12603.07,14,3448,130,62,10495
29/11/2023,Quintana Roo,12603.62,11,1157,53,42,3506
19/11/2023,Chihuahua,12607.57,13,2095,92,61,7347
15/05/2024,Oaxaca,12619.13,4,973,39,23,2570
23/09/2024,Zacatecas,12646.67,3,381,10,4,1152
21/03/2024,Veracruz,12647.97,11,1891,75,40,5997
11/08/2023,Nuevo León,12652.79,12,3341,130,57,8727
05/04/2024,Oaxaca,12654.41,5,371,10,7,988
29/06/2024,Chihuahua,12654.62,3,1331,57,18,3989
10/08/2023,México,12659.11,17,5174,195,81,14465
14/01/2024,Veracruz,12669.46,9,1610,61,39,5250
04/06/2024,Nuevo León,12670.61,12,3798,120,62,10583
29/10/2023,Aguascalientes,12674.52,5,433,21,7,1332
03/06/2024,Sinaloa,12679.81,8,1034,33,22,2786
15/08/2024,Yucatán,12684.04,11,1599,61,27,5394
29/09/2024,Querétaro,12685.34,14,1770,67,29,5148
11/09/2024,Aguascalientes,12689.78,4,582,23,11,1768
10/05/2024,Nuevo León,12708.47,10,4088,108,51,9876
27/06/2024,Veracruz,12709.44,10,1616,58,33,5213
29/11/2023,Nuevo León,12718.7,20,5216,228,180,17780
27/11/2023,Guerrero,12724.32,9,534,25,21,1917
04/09/2023,Tamaulipas,12728.98,3,615,26,14,1811
02/01/2024,Guanajuato,12738.96,7,1263,68,54,3737
06/08/2024,Nuevo León,12760.06,15,6039,241,81,17086
09/10/2023,Veracruz,12784.32,10,1868,61,27,5181
12/11/2023,Morelos,12789.67,9,646,43,29,2280
